year;country;ocean;school_type;parameter_a;parameter_b;null_set_value
2018;SYC;2;2;0.33235;127.1;120
2019;SYC;2;2;0.33235;127.1;120
2020;SYC;2;2;0.33235;127.1;120
2021;SYC;2;2;0.33235;127.1;120
2022;SYC;2;2;0.33235;127.1;120
2014;SYC;2;3;0.33235;127.1;120
2015;SYC;2;3;0.33235;127.1;120
2016;SYC;2;3;0.33235;127.1;120
2017;SYC;2;3;0.33235;127.1;120
2018;SYC;2;3;0.33235;127.1;120
2019;SYC;2;3;0.33235;127.1;120
2020;SYC;2;3;0.33235;127.1;120
2021;SYC;2;3;0.33235;127.1;120
2022;SYC;2;3;0.33235;127.1;120
1990;CUW;1;1;1.478;100.062;90
1991;CUW;1;1;1.478;100.062;90
1992;CUW;1;1;0.478;127.984;95
1993;CUW;1;1;0.478;127.984;95
1994;CUW;1;1;0.478;127.984;95
1995;CUW;1;1;0.478;127.984;95
1996;CUW;1;1;0.478;127.984;95
1997;CUW;1;1;0.478;127.984;95
1998;CUW;1;1;0.478;127.984;95
1999;CUW;1;1;0.478;127.984;95
2000;CUW;1;1;0.478;127.984;95
2001;CUW;1;1;0.666;128.483;120
2002;CUW;1;1;0.666;128.483;120
2003;CUW;1;1;0.547;122.071;117
2004;CUW;1;1;0.547;122.071;117
2005;CUW;1;1;0.599;122.716;121
2006;CUW;1;1;0.599;122.716;121
2007;CUW;1;1;0.599;122.716;121
2008;CUW;1;1;0.599;122.716;121
2009;CUW;1;1;0.599;122.716;121
2010;CUW;1;1;0.599;122.716;121
2011;CUW;1;1;0.599;122.716;121
2012;CUW;1;1;0.599;122.716;121
2013;CUW;1;1;0.599;122.716;121
2014;CUW;1;1;0.599;122.716;121
2015;CUW;1;1;0.599;122.716;121
2016;CUW;1;1;0.599;122.716;121
2017;CUW;1;1;0.599;122.716;121
2018;CUW;1;1;0.599;122.716;121
2019;CUW;1;1;0.599;122.716;121
2020;CUW;1;1;0.599;122.716;121
2021;CUW;1;1;0.599;122.716;121
2022;CUW;1;1;0.599;122.716;121
1990;CUW;1;2;1.478;100.062;90
1991;CUW;1;2;1.478;100.062;90
1992;CUW;1;2;0.478;127.984;95
1993;CUW;1;2;0.478;127.984;95
1994;CUW;1;2;0.478;127.984;95
1995;CUW;1;2;0.478;127.984;95
1996;CUW;1;2;0.478;127.984;95
1997;CUW;1;2;0.478;127.984;95
1998;CUW;1;2;0.478;127.984;95
1999;CUW;1;2;0.478;127.984;95
2000;CUW;1;2;0.478;127.984;95
2001;CUW;1;2;0.666;128.483;113
2002;CUW;1;2;0.666;128.483;113
2003;CUW;1;2;0.547;122.071;103.5
2004;CUW;1;2;0.547;122.071;103.5
2005;CUW;1;2;0.476;138.011;110
2006;CUW;1;2;0.476;138.011;110
2007;CUW;1;2;0.476;138.011;110
