ocean_code;species_code;species_fao_code;ld1_class;lf_class;ratio
1;3;BET;52.5;176;7
1;3;BET;52.5;178;10
1;3;BET;52.5;180;13
1;3;BET;52.5;182;14
1;3;BET;52.5;184;14
1;3;BET;52.5;186;13
1;3;BET;52.5;188;11
1;3;BET;52.5;190;8
1;3;BET;52.5;192;5
1;3;BET;53.0;178;5
1;3;BET;53.0;180;7
1;3;BET;53.0;182;10
1;3;BET;53.0;184;12
1;3;BET;53.0;186;15
1;3;BET;53.0;188;14
1;3;BET;53.0;190;13
1;3;BET;53.0;192;11
1;3;BET;53.0;194;8
1;3;BET;53.0;196;5
1;3;BET;53.5;180;5
1;3;BET;53.5;182;7
1;3;BET;53.5;184;10
1;3;BET;53.5;186;12
1;3;BET;53.5;188;14
1;3;BET;53.5;190;14
1;3;BET;53.5;192;13
1;3;BET;53.5;194;11
1;3;BET;53.5;196;8
1;3;BET;53.5;198;6
1;3;BET;54.0;182;3
1;3;BET;54.0;184;7
1;3;BET;54.0;186;10
1;3;BET;54.0;188;12
1;3;BET;54.0;190;14
1;3;BET;54.0;192;14
1;3;BET;54.0;194;13
1;3;BET;54.0;196;11
1;3;BET;54.0;198;8
1;3;BET;54.0;200;6
1;3;BET;54.0;202;2
1;3;BET;54.5;208;100
1;3;BET;55.0;210;100
1;3;BET;55.5;214;100
1;3;BET;56.0;216;100
1;3;BET;56.5;218;100
1;3;BET;57.0;218;100
1;3;BET;57.5;218;100
1;3;BET;58.0;218;100
1;3;BET;58.5;218;100
1;3;BET;59.0;218;100
1;3;BET;59.5;218;100
1;3;BET;60.0;218;100
1;4;ALB;20.0;66;54
1;4;ALB;20.0;68;46
1;4;ALB;20.5;68;76
1;4;ALB;20.5;70;24
1;4;ALB;21.0;70;100
1;4;ALB;21.5;72;100
1;4;ALB;22.0;72;24
1;4;ALB;22.0;74;76
1;4;ALB;22.5;74;48
1;4;ALB;22.5;76;52
1;4;ALB;23.0;76;72
1;4;ALB;23.0;78;28
1;4;ALB;23.5;78;96
1;4;ALB;23.5;80;4
1;4;ALB;24.0;80;100
1;4;ALB;24.5;80;20
1;4;ALB;24.5;82;80
1;4;ALB;25.0;82;44
1;4;ALB;25.0;84;56
1;4;ALB;25.5;84;68
1;4;ALB;25.5;86;32
1;4;ALB;26.0;86;94
1;4;ALB;26.0;88;6
1;4;ALB;26.5;88;100
1;4;ALB;27.0;88;18
1;4;ALB;27.0;90;82
1;4;ALB;27.5;90;42
1;4;ALB;27.5;92;58
1;4;ALB;28.0;92;66
1;4;ALB;28.0;94;34
1;4;ALB;28.5;94;92
1;4;ALB;28.5;96;8
1;4;ALB;29.0;96;100
1;4;ALB;29.5;96;16
1;4;ALB;29.5;98;84
1;4;ALB;30.0;98;40
1;4;ALB;30.0;100;60
1;4;ALB;30.5;100;66
1;4;ALB;30.5;102;34
1;4;ALB;31.0;102;90
1;4;ALB;31.0;104;10
1;4;ALB;31.5;104;100
1;4;ALB;32.0;104;16
1;4;ALB;32.0;106;84
1;4;ALB;32.5;106;42
1;4;ALB;32.5;108;58
1;4;ALB;33.0;108;66
1;4;ALB;33.0;110;34
1;4;ALB;33.5;110;92
1;4;ALB;33.5;112;8
1;4;ALB;34.0;112;100
1;4;ALB;34.5;112;16
1;4;ALB;34.5;114;84
1;4;ALB;35.0;114;42
1;4;ALB;35.0;116;58
1;4;ALB;35.5;116;68
1;4;ALB;35.5;118;32
1;4;ALB;36.0;118;94
1;4;ALB;36.0;120;6
1;4;ALB;36.5;120;100
1;4;ALB;37.0;120;18
1;4;ALB;37.0;122;82
1;4;ALB;37.5;122;44
1;4;ALB;37.5;124;56
1;4;ALB;38.0;124;70
1;4;ALB;38.0;126;30
1;4;ALB;38.5;126;96
1;4;ALB;38.5;128;4
1;4;ALB;39.0;128;100
1;4;ALB;39.5;128;22
1;4;ALB;39.5;130;78
1;4;ALB;40.0;130;48
1;4;ALB;40.0;132;52
1;4;ALB;40.5;132;74
1;4;ALB;40.5;134;26
1;4;ALB;41.0;134;100
1;4;ALB;41.5;136;100
1;4;ALB;42.0;136;26
1;4;ALB;42.0;138;74
1;4;ALB;42.5;138;52
1;4;ALB;42.5;140;48
1;4;ALB;43.0;140;78
1;4;ALB;43.0;142;22
1;4;ALB;43.5;142;100
1;4;ALB;44.0;142;4
1;4;ALB;44.0;144;96
1;4;ALB;44.5;144;30
1;4;ALB;44.5;146;70
1;4;ALB;45.0;146;56
1;4;ALB;45.0;148;44
1;4;ALB;45.5;148;82
1;4;ALB;45.5;150;18
1;4;ALB;46.0;150;100
1;4;ALB;46.5;150;8
1;4;ALB;46.5;152;92
1;4;ALB;47.0;152;36
1;4;ALB;47.0;154;64
1;4;ALB;47.5;154;62
1;4;ALB;47.5;156;38
1;4;ALB;48.0;156;88
1;4;ALB;48.0;158;12
1;4;ALB;48.5;158;100
1;4;ALB;49.0;158;14
1;4;ALB;49.0;160;86
1;4;ALB;49.5;160;42
1;4;ALB;49.5;162;58
1;4;ALB;50.0;162;68
1;4;ALB;50.0;164;32
1;4;ALB;50.5;164;94
1;4;ALB;50.5;166;6
1;4;ALB;51.0;164;94
1;4;ALB;51.0;166;6
1;4;ALB;51.5;164;94
1;4;ALB;51.5;166;6
1;4;ALB;52.0;164;94
1;4;ALB;52.0;166;6
1;4;ALB;52.5;164;94
1;4;ALB;52.5;166;6
1;4;ALB;53.0;164;94
1;4;ALB;53.0;166;6
1;4;ALB;53.5;164;94
1;4;ALB;53.5;166;6
1;4;ALB;54.0;164;94
1;4;ALB;54.0;166;6
1;4;ALB;54.5;164;94
1;4;ALB;54.5;166;6
1;4;ALB;55.0;164;94
1;4;ALB;55.0;166;6
1;4;ALB;55.5;164;94
1;4;ALB;55.5;166;6
1;4;ALB;56.0;164;94
1;4;ALB;56.0;166;6
1;4;ALB;56.5;164;94
1;4;ALB;56.5;166;6
1;4;ALB;57.0;164;94
1;4;ALB;57.0;166;6
1;4;ALB;57.5;164;94
1;4;ALB;57.5;166;6
1;4;ALB;58.0;164;94
1;4;ALB;58.0;166;6
1;4;ALB;58.5;164;94
1;4;ALB;58.5;166;6
1;4;ALB;59.0;164;94
1;4;ALB;59.0;166;6
1;4;ALB;59.5;164;94
1;4;ALB;59.5;166;6
1;4;ALB;60.0;164;94
1;4;ALB;60.0;166;6
2;1;YFT;8.0;20;25.3
2;1;YFT;8.0;22;36.4
2;1;YFT;8.0;24;27.8
2;1;YFT;8.0;26;9.1
2;1;YFT;8.0;28;1.3
2;1;YFT;8.0;30;0.1
2;1;YFT;8.5;20;7.4
2;1;YFT;8.5;22;23.4
2;1;YFT;8.5;24;36.1
2;1;YFT;8.5;26;24.6
2;1;YFT;8.5;28;7.4
2;1;YFT;8.5;30;1
2;1;YFT;8.5;32;0.1
2;1;YFT;9.0;20;1.3
2;1;YFT;9.0;22;8.8
2;1;YFT;9.0;24;26.2
2;1;YFT;9.0;26;35.3
2;1;YFT;9.0;28;21.6
2;1;YFT;9.0;30;6
2;1;YFT;9.0;32;0.8
2;1;YFT;9.5;20;0.2
2;1;YFT;9.5;22;2.1
2;1;YFT;9.5;24;11.2
2;1;YFT;9.5;26;28.5
2;1;YFT;9.5;28;33.9
2;1;YFT;9.5;30;18.7
2;1;YFT;9.5;32;4.8
2;1;YFT;9.5;34;0.6
2;1;YFT;10.0;22;0.3
2;1;YFT;10.0;24;3
2;1;YFT;10.0;26;13.8
2;1;YFT;10.0;28;30.4
2;1;YFT;10.0;30;32
2;1;YFT;10.0;32;16.1
2;1;YFT;10.0;34;3.9
2;1;YFT;10.0;36;0.5
2;1;YFT;10.5;24;0.5
2;1;YFT;10.5;26;4.2
2;1;YFT;10.5;28;16.5
2;1;YFT;10.5;30;31.6
2;1;YFT;10.5;32;29.9
2;1;YFT;10.5;34;13.8
